id,label,properties
144,date,datetime,1922-04-17
275,date,datetime,1939-01-26
189,date,datetime,1914-04-09
199,date,datetime,1911-07-23
213,date,datetime,1913-07-12
114,date,datetime,1903-01-01
270,date,datetime,1917-10-04
23,date,datetime,1906-01-01
151,date,datetime,1912-07-11
148,date,datetime,1894-01-01
265,date,datetime,1922-04-18
224,date,datetime,1925-01-01
87,date,datetime,1892-01-01
161,date,datetime,1907-01-01
29,date,datetime,1889-01-01
232,date,datetime,1923-01-01
34,date,datetime,1929-05-24
222,date,datetime,1912-08-09
102,date,datetime,1935-01-01
104,date,datetime,1930-01-01
17,date,datetime,1898-01-01
140,date,datetime,1901-01-01
170,date,datetime,1933-09-01
127,date,datetime,1934-06-02
209,date,datetime,1911-08-10
217,date,datetime,1923-02-02
136,date,datetime,1931-07-12
38,date,datetime,1895-01-01
55,date,datetime,1910-03-27
66,date,datetime,1910-03-20
246,date,datetime,1911-05-28
252,date,datetime,1915-04-05
176,date,datetime,1912-12-27
281,date,datetime,1920-09-13
290,date,datetime,1933-01-01
166,date,datetime,1937-06-27
119,date,datetime,1912-12-24
238,date,datetime,1911-01-29
123,date,datetime,1915-12-23
287,date,datetime,1923-02-07
99,date,datetime,1921-02-13
181,date,datetime,1887-01-01
60,keyword,name,Kugel
69,keyword,name,Fetzen
112,keyword,name,Selbstverwandlung in die Wolfsgestalt durch Zaubermittel
257,keyword,name,Abwehr
278,keyword,name,Transformation in a bear
16,keyword,name,verrotten
45,keyword,name,zerreißen
44,keyword,name,Nachbarin
244,keyword,name,Bräutigam
9,keyword,name,Knecht
251,keyword,name,Pastor as werewolf
77,keyword,name,Kind
89,keyword,name,Ufer
108,keyword,name,Werewolf attacks persons
51,keyword,name,Der Werwolf als Viehdieb
134,keyword,name,Transformation
11,keyword,name,Fohlen
75,keyword,name,Wald
8,keyword,name,Mahlzeit
80,keyword,name,Name
72,keyword,name,Ehemann
231,keyword,name,Transformation in several animals
10,keyword,name,Werwolf
12,keyword,name,"Verwandlung, Werwolf"
78,keyword,name,Use of the wolf strap by children
62,keyword,name,angeschossen
256,keyword,name,"Dämone, Namen"
22,keyword,name,Kalb
262,keyword,name,Werewolf in the house
235,keyword,name,Werewolf varia
279,keyword,name,Bär
33,keyword,name,Bauer
98,keyword,name,auspeitschen
263,keyword,name,Haus
111,keyword,name,Self-transformation into the wolf form by means of magic
53,keyword,name,The werewolf as rustler
264,keyword,name,Werwolf im Haus
107,keyword,name,Mensch
59,keyword,name,Jagd
70,keyword,name,Unterrock
106,keyword,name,Werwolf fällt einen Menschen an
254,keyword,name,Abwehr durch Namensnennung
249,keyword,name,Pastor als Werwolf
245,keyword,name,Groom
280,keyword,name,Verwandlung in einen Bären
74,keyword,name,Fransen
28,keyword,name,Riemen
52,keyword,name,Viehdieb
229,keyword,name,Verwandlung in verschiedene Tiere
97,keyword,name,Handwerksbursche
37,keyword,name,mähen
64,keyword,name,Frau
27,keyword,name,Jäger
5,keyword,name,The ample meal
6,keyword,name,Die reichliche Mahlzeit
20,keyword,name,Arbeiter
194,keyword,name,Werwolf als Viehdieb
79,keyword,name,Wolfsriemen
63,keyword,name,The shot werewolf
96,keyword,name,Verwandlung in einen Hund
4,keyword,name,werewolf
43,keyword,name,Tochter
230,keyword,name,"Tier, varia"
21,keyword,name,Gürtel
255,keyword,name,Defense through naming
250,keyword,name,Pastor
61,keyword,name,Der angeschossene Werwolf
7,keyword,name,Sattel
113,keyword,name,Zaubermittel
135,keyword,name,Verwandlung
81,keyword,name,Benutzung des Wolfsriemens durch Kinder
13,keyword,name,Pferd
73,keyword,name,Der Ehemann als Werwolf
193,keyword,name,Werewolf as rustler
95,keyword,name,Hund
86,keyword,name,Schäferfrau
94,keyword,name,Transformation in a dog
234,keyword,name,Werwolf Varia
65,keyword,name,Erbsilber
54,keyword,name,Wunde
71,keyword,name,The husband as werewolf
93,keyword,name,Schäfer

